Date,Type,Link
2024-03-17 02:14:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7153711559578468352
2024-03-17 02:13:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7173546289748516864
2024-03-17 02:12:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7174068045546434561
2024-03-17 02:10:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7174533272108949504
2024-03-17 00:26:04,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927028-7174899155012648962
2024-03-17 00:24:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7174686265877889025
2024-03-16 22:16:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7172878864644354048
2024-03-13 19:11:41,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173748252494819329
2024-03-12 08:14:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1836487-7173181436315783168
2024-03-12 08:09:07,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7172526573873475584
2024-03-12 05:32:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173150978924363776
2024-03-11 08:45:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7172007331189252096
2024-03-10 07:19:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7170575331077160961
2024-03-10 07:18:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7169454585785335810
2024-03-10 06:27:08,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7172477354668150784?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7172477354668150784%2C7172477848996311040%29
2024-03-10 06:13:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7170383811069882368
2024-03-05 21:33:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170856447445073921
2024-03-04 05:23:24,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7170055009697525760
2024-03-04 05:06:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7170100864160899072
2024-03-03 06:15:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7168856281661751296
2024-03-01 21:51:58,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7169270192739459073
2024-03-01 07:18:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7166382274198822912
2024-02-27 06:13:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7167867006153637888
2024-02-26 07:29:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163145622072635392
2024-02-25 13:02:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166066262014431235
2024-02-24 02:50:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7166413061224964096
2024-02-23 10:42:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1836487-7166729899645255680
2024-02-23 10:42:21,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7166434841704546305
2024-02-12 00:51:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7162415476793356288
2024-02-07 07:09:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7158720120624762881
2024-02-03 05:04:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A3087701
2024-01-31 00:07:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7155279290933100545
2024-01-30 19:04:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7157975700820389889
2024-01-30 18:59:06,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3746827-7158152118858661888
2024-01-30 18:49:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7158165638480314370
2024-01-30 18:49:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7158092387142057984
2024-01-30 18:19:44,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7155749465654484992
2024-01-27 18:47:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7156996360364269568
2024-01-26 21:35:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7152650607625949184
2024-01-26 21:33:29,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1814785-7156668357012779008
2024-01-26 21:32:55,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7153244057534640128
2024-01-26 08:31:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7156215724720427008
2024-01-26 08:24:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7156198260892672003
2024-01-24 19:45:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7155998370098991104
2024-01-23 18:24:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7155139317848309760
2024-01-10 00:17:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7148267938699968512
2024-01-04 21:30:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A1836487-7148716140372942850
2024-01-04 21:23:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7148533321315119104
2023-12-22 21:50:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140187521333846017
2023-12-17 14:02:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7140756126488322050
2023-12-17 14:00:52,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7137311507880566784
2023-07-13 06:09:26,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A13927028-7085062234845945856
2023-07-13 06:06:57,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7084735672380510208
2023-07-08 23:45:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7080699569683980288
2023-05-14 20:56:39,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7062014396050329600
2023-05-14 20:56:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7049472193629458432
2023-04-29 21:41:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7057290349504823296
2023-04-21 19:46:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7051318521351344129
2023-04-21 19:45:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A3990648-7053679760828243968
2023-04-01 23:10:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7046730075483893760
